Theme,sub_theme,Count
resources,Improved funding process,11
resources,Better access to funding,4
resources,Long-term funding,16
resources,Increased funding,7
resources,Funding for data/evidence,7
resources,Funding for resources,2
resources,Secure/stable funding,20
resources,Funding (non specific),3
resources,Capacity/resources for projects/data collection,11
data_evidence,Long-term datasets,1
data_evidence,Standardized datasets,3
data_evidence,Collaborative data creation,2
data_evidence,Improved data sharing,4
data_evidence,More data/evidence/research ,21
data_evidence,Better data management,3
data_evidence,Access to data/research/evidence,7
data_evidence,Evidence synthesis,2
use_data_evidence,Evidence-based decision-making,10
use_data_evidence,Decision-support processes,7
use_data_evidence,Addressing biases,1
use_data_evidence,Follow-up/evaluation of decisions/outcomes,6
use_data_evidence,Accepting risks/incentivizing conservation action,4
use_data_evidence,Better acceptance/documentation of uncertainty,6
use_data_evidence,Evidence-based approaches,1
quality_governance,Transparency in decision-making,10
quality_governance,Reduced political oversight/influence,10
quality_governance,Leadership/politicians understanding evidence,8
quality_governance,Accountability,5
quality_governance,Clarity around policies and legislation,1
quality_governance,Clear jurisdictions,1
quality_governance,Government support,1
quality_governance,Shift in governance/management,1
quality_governance,More autonomy/empowerment,3
collab_engage,Improved public engagement/education,4
collab_engage,Clear communication,2
collab_engage,Processes for collaboration/communication,7
collab_engage,Science-politic collaboration,5
collab_engage,Better internal communication/collaboration,8
collab_engage,External collaboration/communication,12
priorities,Clear goals and priorities,11
priorities,Longer-term actions,1
priorities,Clear timelines,2
priorities,Stable government priorities/long-term policies,10
priorities,Government priotizing conservation,4
priorities,Conservation prioritized in all levels of decision-making,3
priorities,Meaningful climate action,3
priorities,Better/stronger conservation policies,5
priorities,Social and political will,6
priorities,Willingness to act,0
external_factors,New technology,1
external_factors,Socio-economic revolution,1
